"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","responses","varname","response","button_pressed"
"true","fullscreen","0","1585","0.0-0.0","","","","","","",""
"","html-keyboard-response","1","2298","0.0-1.0","704.1350000000002","
    <p style=""font: bold 32pt 微软雅黑; color: #B22222"">
    欢迎参与我们的实验</p>
    <p style=""font: 20pt 微软雅黑; color: black""><br/>
    <按空格键继续><br/>
    <b>实验过程中请勿退出全屏</b><br/><br/></p>
    <p style=""font: 20pt 华文中宋; color: grey"">
    北京师范大学 <br/>2020年</p>","32","","","",""
"","survey-html-form","2","4190","0.0-2.0-0.0","1889.2050000000004","","","1","ID","1",""
"","html-button-response","3","4991","0.0-2.0-1.0","799.6699999999992","您的性别","","","Sex","2","1"
"","survey-html-form","4","6447","0.0-2.0-2.0","1455.0650000000005","","","10","Age","10",""
"","survey-html-form","5","7764","0.0-2.0-3.0","1316.125000000001","","","1.硕士研究生及以上","Education","1.硕士研究生及以上",""
"","html-keyboard-response","6","8225","0.0-3.0","460.35499999999956","
    <p style=""font: 24pt 微软雅黑; color: black"">
    在本实验中…… <br/>按任意键继续</p>","32","","","",""
"","html-keyboard-response","7","8665","0.0-4.0-0.0","439.72000000000116","<p style=""font: 24pt 微软雅黑; color: black"">
    接下来，你将会看到一个视频…… <br/>按任意键继续</p>","32","","","",""
"","html-keyboard-response","8","9571","0.0-4.0-1.0","null","+","null","","","",""
"","html-slider-response","9","11095","0.0-4.0-2.0","1521.6400000000012","你当前感受到的恐怖情绪程度如何？<br/>（1 = 丝毫没有感觉，9 = 感到非常恐怖）","","","PreEmotion","4",""
"","video-button-response","10","16876","0.0-4.0-3.0","5779.779999999997","","","","","","0"
"","html-slider-response","11","19291","0.0-4.0-4.0","2412.2149999999965","看完视频后，您当前感受到的恐怖情绪程度如何？<br/>（1 = 丝毫没有感觉，9 = 感到非常恐怖）","","","PostEmotion","6",""
"","html-keyboard-response","12","20066","0.0-4.0-5.0","774.3250000000007","<p style=""font: 24pt 微软雅黑; color: black"">下面我们将阅读一段文字情境 <br/>假设您就是里面的主人翁，请以您自己的视角做出判断，判断没有对错之分 <br/>
        不要考虑太久，根据第一反应做出判断即可<br/>按任意键继续</p>","32","","","",""
"","html-keyboard-response","13","20361","0.0-4.0-6.0-0.0","null","+","null","","","",""
"","image-keyboard-response","14","21346","0.0-4.0-6.0-1.0","983.4900000000016","IMG_PE/PE9.bmp","68","","","",""
"","html-keyboard-response","15","21641","0.0-4.0-6.0-0.1","null","+","null","","","",""
"","image-keyboard-response","16","22002","0.0-4.0-6.0-1.1","360.27500000000146","IMG_NO/No4.bmp","75","","","",""
"","html-keyboard-response","17","22297","0.0-4.0-6.0-0.2","null","+","null","","","",""
"","image-keyboard-response","18","22626","0.0-4.0-6.0-1.2","328.2000000000007","IMG_NO/No9.bmp","68","","","",""
"","html-keyboard-response","19","22921","0.0-4.0-6.0-0.3","null","+","null","","","",""
"","image-keyboard-response","20","23234","0.0-4.0-6.0-1.3","312.21500000000015","IMG_PE/PE1.bmp","75","","","",""
"","html-keyboard-response","21","23529","0.0-4.0-6.0-0.4","null","+","null","","","",""
"","image-keyboard-response","22","23874","0.0-4.0-6.0-1.4","344.1800000000003","IMG_IM/IM10.bmp","68","","","",""
"","html-keyboard-response","23","24169","0.0-4.0-6.0-0.5","null","+","null","","","",""
"","image-keyboard-response","24","24465","0.0-4.0-6.0-1.5","295.9649999999965","IMG_IM/IM14.bmp","75","","","",""
"","html-keyboard-response","25","24761","0.0-4.0-6.0-0.6","null","+","null","","","",""
"","image-keyboard-response","26","25049","0.0-4.0-6.0-1.6","288.07000000000335","IMG_PE/PE11.bmp","68","","","",""
"","html-keyboard-response","27","25345","0.0-4.0-6.0-0.7","null","+","null","","","",""
"","image-keyboard-response","28","25602","0.0-4.0-6.0-1.7","256.1299999999974","IMG_IM/IM6.bmp","75","","","",""
"","html-slider-response","29","28056","0.0-4.0-7.0","2453.385000000002","看完视频后，您当前感受到的恐怖情绪程度如何？<br/>（1 = 丝毫没有感觉，9 = 感到非常恐怖）","","","PostEmotion2","6",""
"","html-button-response","30","38059","0.0-4.0-8.0","null","<p>请休息10秒钟……</p>","","","","","null"
"","audio-button-response","31","39593","0.0-4.0-9.0","1532.0349999999962","Sound/clock.m4a","","","","","0"
"","html-keyboard-response","32","40114","0.0-5.0-0.0","520.3500000000058","<p style=""font: 24pt 微软雅黑; color: black"">
    接下来，你将会看到一个视频…… <br/>按任意键继续</p>","32","","","",""
"","html-keyboard-response","33","41019","0.0-5.0-1.0","null","+","null","","","",""
"","html-slider-response","34","42690","0.0-5.0-2.0","1670.125","你当前感受到的恐怖情绪程度如何？<br/>（1 = 丝毫没有感觉，9 = 感到非常恐怖）","","","PreEmotion","4",""
"","video-button-response","35","48550","0.0-5.0-3.0","5858.840000000004","","","","","","0"
"","html-slider-response","36","50160","0.0-5.0-4.0","1608.0449999999983","看完视频后，您当前感受到的恐怖情绪程度如何？<br/>（1 = 丝毫没有感觉，9 = 感到非常恐怖）","","","PostEmotion","6",""
"","html-keyboard-response","37","51001","0.0-5.0-5.0","840.5299999999988","<p style=""font: 24pt 微软雅黑; color: black"">下面我们将阅读一段文字情境 <br/>假设您就是里面的主人翁，请以您自己的视角做出判断，判断没有对错之分 <br/>
        不要考虑太久，根据第一反应做出判断即可<br/>按任意键继续</p>","32","","","",""
