"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","responses","varname","response","button_pressed"
"true","fullscreen","0","1106","0.0-0.0","","","","","","",""
"","html-keyboard-response","1","1769","0.0-1.0","659.9849999999999","
    <p style=""font: bold 32pt 微软雅黑; color: #B22222"">
    欢迎参与我们的实验</p>
    <p style=""font: 20pt 微软雅黑; color: black""><br/>
    <按空格键继续><br/>
    <b>实验过程中请勿退出全屏</b><br/><br/></p>
    <p style=""font: 20pt 华文中宋; color: grey"">
    北京师范大学 <br/>2020年</p>","32","","","",""
"","survey-html-form","2","3927","0.0-2.0-0.0","2156.860000000001","","","1","ID","1",""
"","html-button-response","3","4667","0.0-2.0-1.0","737.8949999999995","您的性别","","","Sex","2","1"
"","survey-html-form","4","6048","0.0-2.0-2.0","1379.955","","","10","Age","10",""
"","survey-html-form","5","7759","0.0-2.0-3.0","1709.9749999999985","","","1.硕士研究生及以上","Education","1.硕士研究生及以上",""
"","html-keyboard-response","6","8504","0.0-3.0","744.2599999999984","
    <p style=""font: 24pt 微软雅黑; color: black"">
    在本实验中…… <br/>按任意键继续</p>","32","","","",""
"","html-keyboard-response","7","8991","0.0-4.0-0.0","487.3600000000006","<p style=""font: 24pt 微软雅黑; color: black"">
    接下来，你将会看到一个视频…… <br/>按任意键继续</p>","32","","","",""
"","html-keyboard-response","8","9875","0.0-4.0-1.0","null","+","null","","","",""
"","html-slider-response","9","11890","0.0-4.0-2.0","2012.744999999999","你当前感受到的恐怖情绪程度如何？<br/>（1 = 丝毫没有感觉，9 = 感到非常恐怖）","","","PreEmotion","4",""
"","video-button-response","10","17675","0.0-4.0-3.0","5781.980000000003","","","","","","0"
"","html-slider-response","11","19579","0.0-4.0-4.0","1901.8950000000004","看完视频后，您当前感受到的恐怖情绪程度如何？<br/>（1 = 丝毫没有感觉，9 = 感到非常恐怖）","","","PostEmotion","6",""
"","html-keyboard-response","12","20448","0.0-4.0-5.0","868.4500000000007","<p style=""font: 24pt 微软雅黑; color: black"">下面我们将阅读一段文字情境 <br/>假设您就是里面的主人翁，请以您自己的视角做出判断，判断没有对错之分 <br/>
        不要考虑太久，根据第一反应做出判断即可<br/>按任意键继续</p>","32","","","",""
"","html-keyboard-response","13","20655","0.0-4.0-6.0-0.0","null","+","null","","","",""
"","image-keyboard-response","14","21929","0.0-4.0-6.0-1.0","1272.2249999999985","IMG_IM/IM2.bmp","68","","","",""
"","html-keyboard-response","15","22136","0.0-4.0-6.0-0.1","null","+","null","","","",""
"","image-keyboard-response","16","22640","0.0-4.0-6.0-1.1","503.25999999999476","IMG_IM/IM8.bmp","75","","","",""
"","html-keyboard-response","17","22847","0.0-4.0-6.0-0.2","null","+","null","","","",""
"","image-keyboard-response","18","23328","0.0-4.0-6.0-1.2","480.2149999999965","IMG_NO/No3.bmp","68","","","",""
"","html-keyboard-response","19","23535","0.0-4.0-6.0-0.3","null","+","null","","","",""
"","image-keyboard-response","20","24024","0.0-4.0-6.0-1.3","488.2000000000007","IMG_IM/IM4.bmp","75","","","",""
"","html-keyboard-response","21","24231","0.0-4.0-6.0-0.4","null","+","null","","","",""
"","image-keyboard-response","22","24744","0.0-4.0-6.0-1.4","512.010000000002","IMG_NO/No5.bmp","68","","","",""
"","html-keyboard-response","23","24951","0.0-4.0-6.0-0.5","null","+","null","","","",""
"","image-keyboard-response","24","25359","0.0-4.0-6.0-1.5","407.69500000000335","IMG_PE/PE15.bmp","75","","","",""
"","html-keyboard-response","25","25566","0.0-4.0-6.0-0.6","null","+","null","","","",""
"","image-keyboard-response","26","26048","0.0-4.0-6.0-1.6","481.1200000000026","IMG_PE/PE13.bmp","68","","","",""
"","html-keyboard-response","27","26255","0.0-4.0-6.0-0.7","null","+","null","","","",""
"","image-keyboard-response","28","26616","0.0-4.0-6.0-1.7","360.08500000000276","IMG_PE/PE10.bmp","75","","","",""
"","html-slider-response","29","29269","0.0-4.0-7.0","2651.770000000004","看完视频后，您当前感受到的恐怖情绪程度如何？<br/>（1 = 丝毫没有感觉，9 = 感到非常恐怖）","","","PostEmotion2","6",""
"","html-button-response","30","39271","0.0-4.0-8.0","null","<p>请休息10秒钟……</p>","","","","","null"
"","audio-button-response","31","41220","0.0-4.0-9.0","1946.7350000000079","Sound/clock.m4a","","","","","0"
"","html-keyboard-response","32","41968","0.0-5.0-0.0","746.6250000000073","<p style=""font: 24pt 微软雅黑; color: black"">
    接下来，你将会看到一个视频…… <br/>按任意键继续</p>","32","","","",""
"","html-keyboard-response","33","42852","0.0-5.0-1.0","null","+","null","","","",""
"","html-slider-response","34","44950","0.0-5.0-2.0","2097.4100000000035","你当前感受到的恐怖情绪程度如何？<br/>（1 = 丝毫没有感觉，9 = 感到非常恐怖）","","","PreEmotion","4",""
"","video-button-response","35","50742","0.0-5.0-3.0","5789.965000000004","","","","","","0"
"","html-slider-response","36","52347","0.0-5.0-4.0","1602.0800000000017","看完视频后，您当前感受到的恐怖情绪程度如何？<br/>（1 = 丝毫没有感觉，9 = 感到非常恐怖）","","","PostEmotion","6",""
"","html-keyboard-response","37","53048","0.0-5.0-5.0","700.6050000000032","<p style=""font: 24pt 微软雅黑; color: black"">下面我们将阅读一段文字情境 <br/>假设您就是里面的主人翁，请以您自己的视角做出判断，判断没有对错之分 <br/>
        不要考虑太久，根据第一反应做出判断即可<br/>按任意键继续</p>","32","","","",""
"","html-keyboard-response","38","53255","0.0-5.0-6.0-0.0","null","+","null","","","",""
"","image-keyboard-response","39","54265","0.0-5.0-6.0-1.0","1008.8899999999921","IMG_IM/IM5.bmp","68","","","",""
"","html-keyboard-response","40","54472","0.0-5.0-6.0-0.1","null","+","null","","","",""
"","image-keyboard-response","41","54792","0.0-5.0-6.0-1.1","319.0550000000003","IMG_IM/IM10.bmp","75","","","",""
"","html-keyboard-response","42","54999","0.0-5.0-6.0-0.2","null","+","null","","","",""
"","image-keyboard-response","43","55344","0.0-5.0-6.0-1.2","344.4349999999977","IMG_NO/No8.bmp","68","","","",""
"","html-keyboard-response","44","55551","0.0-5.0-6.0-0.3","null","+","null","","","",""
"","image-keyboard-response","45","55888","0.0-5.0-6.0-1.3","336.4449999999997","IMG_IM/IM13.bmp","75","","","",""
"","html-keyboard-response","46","56095","0.0-5.0-6.0-0.4","null","+","null","","","",""
"","image-keyboard-response","47","56464","0.0-5.0-6.0-1.4","368.2099999999991","IMG_NO/No10.bmp","68","","","",""
"","html-keyboard-response","48","56671","0.0-5.0-6.0-0.5","null","+","null","","","",""
"","image-keyboard-response","49","57040","0.0-5.0-6.0-1.5","368.4099999999962","IMG_PE/PE8.bmp","75","","","",""
"","html-keyboard-response","50","57247","0.0-5.0-6.0-0.6","null","+","null","","","",""
"","image-keyboard-response","51","57592","0.0-5.0-6.0-1.6","344.1750000000029","IMG_PE/PE5.bmp","68","","","",""
"","html-keyboard-response","52","57799","0.0-5.0-6.0-0.7","null","+","null","","","",""
"","image-keyboard-response","53","58144","0.0-5.0-6.0-1.7","344.08000000000175","IMG_PE/PE9.bmp","75","","","",""
"","html-slider-response","54","60590","0.0-5.0-7.0","2443.854999999996","看完视频后，您当前感受到的恐怖情绪程度如何？<br/>（1 = 丝毫没有感觉，9 = 感到非常恐怖）","","","PostEmotion2","6",""
"","html-button-response","55","70592","0.0-5.0-8.0","null","<p>请休息10秒钟……</p>","","","","","null"
"","audio-button-response","56","72986","0.0-5.0-9.0","2392.595000000001","Sound/clock.m4a","","","","","0"
"","html-keyboard-response","57","73729","0.0-6.0-0.0","742.7450000000099","<p style=""font: 24pt 微软雅黑; color: black"">
    接下来，你将会看到一个视频…… <br/>按任意键继续</p>","32","","","",""
"","html-keyboard-response","58","74613","0.0-6.0-1.0","null","+","null","","","",""
"","html-slider-response","59","76580","0.0-6.0-2.0","1965.49500000001","你当前感受到的恐怖情绪程度如何？<br/>（1 = 丝毫没有感觉，9 = 感到非常恐怖）","","","PreEmotion","4",""
"","video-button-response","60","82440","0.0-6.0-3.0","5858.854999999996","","","","","","0"
"","html-slider-response","61","84184","0.0-6.0-4.0","1742.7050000000017","看完视频后，您当前感受到的恐怖情绪程度如何？<br/>（1 = 丝毫没有感觉，9 = 感到非常恐怖）","","","PostEmotion","6",""
"","html-keyboard-response","62","85000","0.0-6.0-5.0","815.6749999999884","<p style=""font: 24pt 微软雅黑; color: black"">下面我们将阅读一段文字情境 <br/>假设您就是里面的主人翁，请以您自己的视角做出判断，判断没有对错之分 <br/>
        不要考虑太久，根据第一反应做出判断即可<br/>按任意键继续</p>","32","","","",""
"","html-keyboard-response","63","85207","0.0-6.0-6.0-0.0","null","+","null","","","",""
"","image-keyboard-response","64","86440","0.0-6.0-6.0-1.0","1232.7800000000134","IMG_IM/IM12.bmp","68","","","",""
"","html-keyboard-response","65","86647","0.0-6.0-6.0-0.1","null","+","null","","","",""
"","image-keyboard-response","66","87096","0.0-6.0-6.0-1.1","448.40999999998894","IMG_IM/IM3.bmp","75","","","",""
"","html-keyboard-response","67","87304","0.0-6.0-6.0-0.2","null","+","null","","","",""
"","image-keyboard-response","68","87681","0.0-6.0-6.0-1.2","376.0599999999831","IMG_NO/No4.bmp","68","","","",""
"","html-keyboard-response","69","87888","0.0-6.0-6.0-0.3","null","+","null","","","",""
"","image-keyboard-response","70","88281","0.0-6.0-6.0-1.3","392.74999999998545","IMG_IM/IM6.bmp","75","","","",""
"","html-keyboard-response","71","88488","0.0-6.0-6.0-0.4","null","+","null","","","",""
"","image-keyboard-response","72","88842","0.0-6.0-6.0-1.4","353.2749999999942","IMG_NO/No2.bmp","68","","","",""
"","html-keyboard-response","73","89049","0.0-6.0-6.0-0.5","null","+","null","","","",""
"","image-keyboard-response","74","89465","0.0-6.0-6.0-1.5","415.5399999999936","IMG_PE/PE11.bmp","75","","","",""
"","html-keyboard-response","75","89672","0.0-6.0-6.0-0.6","null","+","null","","","",""
"","image-keyboard-response","76","90089","0.0-6.0-6.0-1.6","416.179999999993","IMG_PE/PE14.bmp","68","","","",""
"","html-keyboard-response","77","90296","0.0-6.0-6.0-0.7","null","+","null","","","",""
"","image-keyboard-response","78","90713","0.0-6.0-6.0-1.7","416.4649999999965","IMG_PE/PE2.bmp","75","","","",""
"","html-slider-response","79","93772","0.0-6.0-7.0","3057.62999999999","看完视频后，您当前感受到的恐怖情绪程度如何？<br/>（1 = 丝毫没有感觉，9 = 感到非常恐怖）","","","PostEmotion2","6",""
